
DATE,OSS_KEYWORD,USERS,SITE_VISITS,RANK,KEYWORD_CATEGORY
2021-02-10,chocolate,89.277989797,94.077881722,3,Grocery
2021-02-10,n95 mask,86.398054642,88.318011412,4,Face Masks
2021-02-10,webcam,84.478097872,87.358033027,5,Computer
2021-02-10,keyboard,83.518119487,91.197946567,6,Computer
2021-02-10,face mask,81.598162718,81.598162718,7,Face Masks
2021-02-10,headphones,81.598162718,83.518119487,7,Computer
2021-02-10,nintendo switch,76.798270793,80.638184333,9,Toy & Games
2021-02-10,eggs,75.838292408,77.758249178,10,Grocery
2021-02-11,valentines day gifts for her,164.074069696,168.928332113,1,Holiday
2021-02-11,webcam,106.793773175,114.560593042,2,Computer
2021-02-11,ps5,88.34757599,89.318428474,3,Toy & Games
2021-02-11,chocolate,85.43501854,88.34757599,4,Grocery
2021-02-11,eggs,82.52246109,84.464166057,5,Grocery
2021-02-11,headphones,78.639051156,79.60990364,6,Computer
2021-02-11,keyboard,77.668198673,82.52246109,7,Computer
2021-02-11,face mask,70.872231289,71.843083772,8,Face Masks
2021-02-11,valentines day gifts for him,68.930526322,69.901378805,9,Holiday
2021-02-11,monitor,68.930526322,70.872231289,9,Computer
2021-02-12,valentines day gifts for her,134.466215916,141.490570478,1,Holiday
2021-02-12,ps5,105.365318441,106.368797665,2,Toy & Games
